"idBank";"Dernière mise à jour";"Indicateur";"Unité";"Zone géographique";"Nature";"Correction";"Série arrêtée";"Périodicité";"Catalogue des questions à l'enquête de conjoncture auprès des ménages";"Puissance"
"000857187";"24/05/2011 12:00";"Confiance des ménages (indicateur résumé)";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"oui";"Mensuelle";"Confiance des ménages (indicateur résumé)";"0"
"000857199";"24/05/2011 12:00";"Indicateur résumé de confiance des ménages";"%";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"oui";"Mensuelle";"Sans objet";"0"
"000857186";"29/03/2022 08:45";"Capacité d'épargne future";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Capacité d'épargne future";"0"
"000857183";"29/03/2022 08:45";"Capacité d'épargne actuelle";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Capacité d'épargne actuelle";"0"
"000857178";"29/03/2022 08:45";"Évolution future du chômage";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Évolution future du chômage";"0"
"000857200";"29/03/2022 08:45";"Intentions d'achats de voitures";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Intentions d'achats de voitures";"0"
"000857203";"29/03/2022 08:45";"Achats de biens d'équipement prévus";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Achats de biens d'équipement prévus";"0"
"000857201";"29/03/2022 08:45";"Intentions d'achats de logements";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Intentions d'achats de logements";"0"
"000857202";"29/03/2022 08:45";"Dépenses d'aménagement du logement";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Dépenses d'aménagement du logement";"0"
"000857177";"29/03/2022 08:45";"Niveau de vie futur en France";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Niveau de vie futur en France";"0"
"000857176";"29/03/2022 08:45";"Niveau de vie passé en France";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Niveau de vie passé en France";"0"
"000857181";"29/03/2022 08:45";"Opportunité à faire des achats importants";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Opportunité à faire des achats importants";"0"
"000857182";"29/03/2022 08:45";"Opportunité d'épargner";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Opportunité d'épargner";"0"
"000857180";"29/03/2022 08:45";"Évolution future des prix";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Évolution future des prix";"0"
"000857179";"29/03/2022 08:45";"Évolution passée des prix";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Évolution passée des prix";"0"
"000857185";"29/03/2022 08:45";"Situation financière future";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Situation financière future";"0"
"000857184";"29/03/2022 08:45";"Situation financière passée";"sans objet";"France métropolitaine";"Solde d'opinions";"Non corrigé";"non";"Mensuelle";"Situation financière passée";"0"
"000857198";"29/03/2022 08:45";"Capacité d'épargne future";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Capacité d'épargne future";"0"
"000857195";"29/03/2022 08:45";"Capacité d'épargne actuelle";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Capacité d'épargne actuelle";"0"
"001616792";"29/03/2022 08:45";"Intentions d'achats de voitures";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Intentions d'achats de voitures";"0"
"001616793";"29/03/2022 08:45";"Achats de biens d'équipement prévus";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Achats de biens d'équipement prévus";"0"
"001616794";"29/03/2022 08:45";"Intentions d'achats de logements";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Intentions d'achats de logements";"0"
"001616795";"29/03/2022 08:45";"Dépenses d'aménagement du logement";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Dépenses d'aménagement du logement";"0"
"000857190";"29/03/2022 08:45";"Évolution future du chômage";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Évolution future du chômage";"0"
"000857189";"29/03/2022 08:45";"Niveau de vie futur en France";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Niveau de vie futur en France";"0"
"000857188";"29/03/2022 08:45";"Niveau de vie passé en France";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Niveau de vie passé en France";"0"
"000857193";"29/03/2022 08:45";"Opportunité à faire des achats importants";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Opportunité à faire des achats importants";"0"
"000857194";"29/03/2022 08:45";"Opportunité d'épargner";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Opportunité d'épargner";"0"
"000857192";"29/03/2022 08:45";"Évolution future des prix";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Évolution future des prix";"0"
"000857191";"29/03/2022 08:45";"Évolution passée des prix";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Évolution passée des prix";"0"
"000857197";"29/03/2022 08:45";"Situation financière future";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Situation financière future";"0"
"000857196";"29/03/2022 08:45";"Situation financière passée";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Situation financière passée";"0"
"001587668";"29/03/2022 08:45";"Indicateur synthétique de confiance des ménages";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Sans objet";"0"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
